event_date,year,assoc_actor_1,assoc_actor_2,admin1,admin2,location,latitude,longitude,source,notes,fatalities,tags
21 October 2023,2023,Arab Ethnic Group (United States); Palestinian Group (United States); Within Our Lifetime,,New York,Kings,New York - Brooklyn,40.6904,-73.9862,ABC7 (New York); Brooklyn Paper; Daily Mail; Fox5 (New York); New York Post; WTNH Channel 8,"On 21 October 2023, 5000 pro-Palestinian demonstrators and members of Arab community held a 'Flood Brooklyn for Palestine' rally, stopped traffic, and lit fires in Bay Ridge in New York - Brooklyn (New York) to call for a 'free Palestine' and to demand an end to 'Zionism' and US military and financial aid to Israel in the wake of renewed fighting between Israel and Hamas. Rioters clashed with police, threw debris and fireworks, and 19 people were arrested for disorderly conduct. Members of the Palestinian group Within Our Lifetime joined the rally.",0,crowd size=5000
09 October 2023,2023,,Antifa (United States); Rioters (United States),Florida,Broward,Fort Lauderdale,26.1223,-80.1378,CBS News; It's Going Down,"On 9 October 2023, over 100 demonstrators, including anti-fascists, marched in Fort Lauderdale (Florida) and rallied to show support for in Palestine and to demonstrate against Palestine after fighting between Israel and Hamas reignited following a Hamas attack in Southern Israel on 7 October, and after Israel's military ordered a complete siege on Gaza on 9 October. They were met by hundreds of demonstrators showing support for Israel and demonstrating against the recent Hamas attacks. Demonstrators fought with each other, throwing punches. Pro-Israel demonstrators burned a Palestinian flag. Police pepper sprayed the demonstrators and arrested at least one pro-Israel demonstrator. After this, pro-Palestine demonstrators continued to march elsewhere in the city.",0,counter-demonstration; crowd size=hundreds
08 October 2023,2023,,Rioters (United States); Israeli Group (United States),Washington,King,Kirkland,47.6815,-122.2087,KIRO7,"On 8 October 2023, hundreds of pro-Israel demonstrators gathered at the intersection of Third Street and Central Way in Kirkland (Washington) to demonstrate in support of Israel and against the recent Hamas attack. Members of the Israeli community were among the demonstrators. They were met by a similarly sized group of pro-Palestine demonstrators who demonstrated against Israel. There were a number of reported altercations between the two groups and the police intervened with pepper balls to separate the two demonstrations as fights continued to break out. This rally took place after the fighting between Israel and Hamas reignited following a Hamas attack in Southern Israel on 7 October.",0,counter-demonstration; crowd size=hundreds
20 June 2023,2023,Armenian Group (United States); GAG: Gays Against Groomers; Proud Boys,LGBTQ+ (United States); Police Forces of the United States (2021-),California,Los Angeles,Glendale,34.1425,-118.255,Daily Beast; KTLA5; Left Coast Right Watch; News2Share; Twitter,"On 20 June 2023, demonstrators gathered outside of the Glendale Unified School District building in Glendale (California) to rally against the LGBTQ+ community and the inclusion of LGBTQ+ materials in education. Demonstrators wore pro-Trump and anti-Biden apparel. Concerned Armenian Parents, Gays Against Groomers, and at least one affiliate of the Proud Boys were among the groups present. They were met by counter-demonstrators including affiliates of Queer Nation Los Angeles who rallied in support of the LGBTQ+ community. Police in riot gear were present to separate crowds and set up barricades. One demonstrator was arrested by police after a group of people who appeared to be anti-LGBTQ+ demonstrators attacked someone who appeared to be a pro-LGBTQ+ demonstrator, pushing the demonstrator to the group and kicking him before police intervened. There were no reported injuries and the pro-LGBTQ+ demonstrator was arrested. A separate anti-LGBTQ+ demonstrator was armed with a knife, but had the knife confiscated by police and was asked to leave by police. In total, an estimated 200 people participated.",0,counter-demonstration; crowd size=estimated 200
06 June 2023,2023,Proud Boys; Armenian Group (United States),LGBTQ+ (United States); RCP: Revolutionary Communist Party; Christian Group (United States),California,Los Angeles,Glendale,34.1425,-118.255,Fox5 San Diego; Guardian (United Kingdom); Left Coast Right Watch; Los Angeles Times; News2Share; Twitter; Vice,"On 6 June 2023, hundreds of demonstrators, including Proud Boys, gathered outside of the Glendale Unified School District headquarters in Glendale (California) to rally against inclusion of LGBTQ+ materials in school curriculum and the school board voting to recognize June as LGBTQ+ Pride Month. Members of the Armenian community were also present. Nearby, hundreds of counter-demonstrators, including members of the Revolutionary Communist Party and clergy members, rallied in support of the vote and in solidarity with the LGBTQ+ community. The school board's vote was canceled due to this demonstration. A clash occurred in which crowds of demonstrators from both sides punched, shoved, and kicked each other. An anti-LGBTQ+ demonstrator was filmed punching a pro-LGBTQ+ demonstrator, seemingly unprovoked. Anti-LGBTQ+ demonstrators were also filmed using pepper spray on pro-LGBTQ+ demonstrators. Police were present, separated the two sides, and later dispersed the crowd, but one anti-LGBTQ+ demonstrator refused to leave and was arrested. At least two other people were arrested for various charges including obstruction of officers and unlawful pepper spray usage.",0,counter-demonstration; crowd size=hundreds
02 June 2023,2023,Armenian Group (United States),LGBTQ+ (United States); Antifa (United States); Protestant Christian Group (United States),California,Los Angeles,Los Angeles - San Fernando Valley,34.2171,-118.4739,ABC7 (Los Angeles); Daily Beast; Left Coast Right Watch; Los Angeles Times; Twitter; Vice,"On 2 June 2023, about 100 demonstrators including members of the Armenian community gathered outside of Saticoy Elementary School in the North Hollywood neighborhood of Los Angeles - San Fernando Valley (California) to rally against LGBTQ+ Pride Month, the LGBTQ+ community, and the LAUSD Superintendent and administration. At the same school over the weekend of May 20-21, a Pride Flag displayed outside the school was burned. Nearby, about 100 counter-demonstrators, including at least one anti-fascist, rallied in support of the LGBTQ+ community. A Reverend associated with the MCC United Church of Christ in the Valley was also present. At one point, a large-scale fight erupted between the side groups, leading a few pro-LGBTQ+ demonstrators to be visibly injured, with one individual being unresponsive.",0,counter-demonstration; crowd size=about 200
18 April 2023,2023,LGBTQ+ (United States); SAP: Socialist Alternative Party; Students (United States),Protesters (United States),Pennsylvania,Allegheny,Pittsburgh,40.4406,-79.9958,It's Going Down; Pitt News; Pittsburgh City Paper; TribLive; WICU,"On 18 April 2023, more than 250 people, including students, demonstrated outside of the O'Hara Student Center in Pittsburgh (Pennsylvania) in opposition to an event being hosted at the University of Pittsburgh in which two conservative media personalities debated if 'transgenderism should be regulated by law' as well as in support of the transgender community. Members of Socialist Alternative participated in the demonstration. During the demonstration, several smoke bombs went off and an 'incendiary device was thrown in the direction of officers.' Police said the incendiary device was a combination of a firework and a smoke bomb. Demonstrators were joined by an unreported number of counter-demonstrators who demonstrated in support of the event.",0,counter-demonstration; crowd size=more than 250
14 March 2023,2023,Students (United States); LGBTQ+ (United States); Antifa (United States),Rioters (United States); Proud Boys; TPUSA: Turning Point USA; Students (United States),California,Yolo,Davis,38.5539,-121.7381,CBS13 (Sacramento); Fox26; Indybay; It's Going Down; KCRA3; Left Coast Right Watch,"On 14 March 2023, between 250 and 300 people, including students and anti-fascists, gathered at UC Davis (California) to demonstrate against a Turning Point USA event that featured Charlie Kirk. Nearby, fifty or so counter-demonstrators, including six Proud Boys and members of Turning Point USA, rallied in support of the event. Demonstrators holding a sign reading 'queers bash back' broke at least 10 glass windows in the door of the building where Kirk was speaking, and an officer claimed he was hurt after he was pushed to the ground by somebody jumping on him. Anti-event demonstrators also threw rocks at members of the Proud Boys and erected a barricade to prevent people from entering the event. Two people were arrested on charges of vandalism and resisting arrest, and one of the two was also charged with making threats to a police officer. A student speaking to KCRA3 claimed that both demonstrators and members of the Proud Boys used pepper spray on each other.",0,counter-demonstration; crowd size=between 306 and 356
11 March 2023,2023,Patriot Front; WLM: White Lives Matter; Proud Boys; Three Percenters (III%); Blood Tribe; White Nationalists (United States); Christian Group (United States),LGBTQ+ (United States); Police Forces of the United States (2021-),Ohio,Medina,Wadsworth,41.0256,-81.7299,Akron Beacon Journal; Anti-Defamation League; Network Contagion Research Institute; News2Share; Newsweek; Pink News; Spectrum News 1 WI; Telegram; Twitter; USA Today,"On 11 March 2023, several hundred demonstrators gathered at Memorial Park in Wadsworth (Ohio) to rally against a drag show. Proud Boys, Patriot Front, White Lives Matter Ohio, III%ers, Blood Tribe (a neo-Nazi group), '18+ gets rid of us,' additional white nationalists, some demonstrators holding Christian nationalist flags, Project 171, and others were among those present. Armed members of the Blood Tribe chanted 'Pedophiles get the rope,' 'Sieg Heil,' 'Heil Hitler,' and 'There will be blood,' as well as other discriminatory epithets. Some demonstrators also used anti-LGBTQ+ and anti-Black slurs. A Black journalist from The Akron Beacon Journal left the event early because he said he feared for his safety. There were clashes between Blood Tribe and other anti-drag demonstrators, including WLM Ohio, Patriot Front, and the Proud Boys. Nearby, counter-demonstrators, including the Parasol Patrol, rallied in support of the drag show and in solidarity with the LGBTQ+ community. Multiple violent confrontations between both sides were reported. In one scuffle, a pro-drag demonstrator deployed mace on an anti-drag demonstrator that reportedly charged the pro-drag side. Two people were later arrested. One anti-drag demonstrator was also filmed pointing a PepperBlaster device, which can deploy pepper spray, at drag supporters.",0,armed; counter-demonstration; crowd size=several hundred
05 March 2023,2023,Civilians (United States); Lawyers (United States); Rioters (Canada); Rioters (France),,Georgia,Fulton,Atlanta,33.7559,-84.3898,11 Alive; Autonomous News: Atlanta; CBS News; Daily Beast; Fox5 Atlanta; Guardian (United Kingdom); Intercept; Southern Poverty Law Center; Truthout; Washington Post,"On 5 March 2023, several hundred to roughly 1500 demonstrators gathered at the Weelaunee forest, also known as the 'Atlanta Forest,' in Atlanta (Georgia) for a music festival and rally against the construction of an Atlanta Police Department training facility, which has been dubbed 'Cop City' by demonstrators, in the forest and to memorialize a person who police fatally shot during a raid of the forest on 18 January 2023. While the festival was taking place, dozens to nearly 150 people dressed in all black chanted 'Viva Tortuguita' (referencing a demonstrator who police fatally shot during a raid in January), and attacked construction equipment and police officers at a site nearby. Demonstrators threw Molotov cocktails, bricks, rocks, and fireworks at the officers and equipment, setting some construction equipment on fire. After this attack, police raided the music festival and dispersed the crowd using tear gas in a parking lot and tasing at least one attendee. 35 people were later arrested and 23 were charged with domestic terrorism. However, demonstrators claimed that the police raid was an 'indiscriminate arrest sweep' of the music festival and that those arrested have not been directly tied to any illegal acts. Police cited some arrestees having mud on their boots as probable cause for their arrests. Demonstrators also said the music festival was over a mile away from the construction equipment that had been damaged. It is not yet clear if the demonstrators who were arrested took part in the violence. Some of those detained were from Canada and France. Additionally, a legal observer affiliated with the National Lawyers Guild and the SPLC was also arrested. This was part of a Defend the Atlanta Forest week of action.",0,crowd size=several hundred to roughly 1500
01 November 2022,2022,Students (United States),Students (United States); Rioters (United States); Civilians (United States); Labor Group (United States),Pennsylvania,Delaware,Sharon Hill,39.9065,-75.2715,News & Observer; 6ABC; Patriot-News,"On 1 November 2022, around 600 students demonstrated at Academy Park High School in Sharon Hill (Pennsylvania) in opposition to a new school dress code policy which banned the wearing of hoodies. During the demonstration, some students began damaging property inside the school which then devolved into fights between students inside and outside of the school. The students fighting each other were not counter-demonstrating one another. Police and school employees were also 'attacked' by students. So far, 10 students have been arrested for their participation in the rioting which followed.",0,crowd size=around 600
26 October 2022,2022,Women (United States),Police Forces of the United States (2021-); LGBTQ+ (United States); Students (United States),Washington,Pierce,Tacoma,47.2528,-122.4442,News Tribune,"On 26 October 2022, about 30 supporters of Standing for Women, an anti-transgender organization, held a rally on Tollefson Plaza in Tacoma (Washington) to support free speech and 'women's sex-based rights' based on sex assigned at birth. At least 200 pro-transgender rights counter-demonstrators, including many Tacoma School of the Arts students, showed up to the event. The anti-transgender group responded with pepper spray to what they described as assaults involving pushing and spitting. There were no reported injuries or hospitalizations, but anti-transgender demonstrators claimed that at least one of their number sustained an injury to their hand requiring 'medical treatment.' At least one person was arrested for malicious mischief and simple assault after they took a phone from somebody and smashed it on the ground.",0,counter-demonstration; crowd size=at least 230
24 October 2022,2022,Antifa (United States); BLM: Black Lives Matter; Civilians (United States); Journalists (United States); Students (United States),Police Forces of the United States (2021-); Proud Boys; WLM: White Lives Matter,Pennsylvania,Centre,State College,40.7933,-77.86,Centre Daily Times; Daily Collegian; News2Share; Twitter; US Press Freedom Tracker; Vice,"On 24 October 2022, hundreds of students demonstrated outside of the Thomas Building on the Pennsylvania State University campus in State College (Pennsylvania) in opposition to an event being hosted by the University which featured the founder of the Proud Boys, Gavin McInnes. Among the demonstrators were members of the Penn State student anti-Fascists and supporters of the Black Lives Matter movement. The demonstration was organized by SCDS: Student Committee for Defense and Solidarity. A group of Proud Boys was also present to counter the student demonstrators. At some point during the demonstration, a student was arrested after he managed to move from the crowd of demonstrators to behind horse-mounted officers, 'caused a horse to react,' and refused to return to the crowd. The event was later canceled due to 'escalating violence.' In one instance, a member of the Proud Boys fought with a demonstrator in an incident that the Proud Boy initiated. In another instance, a pro-event counter-demonstrator affiliated with White Lives Matter sprayed mace at about a dozen demonstrators and a journalist.",0,counter-demonstration; crowd size=hundreds
23 October 2022,2022,Christian Group (United States); Proud Boys; Rose City Nationalists; White Nationalists (United States),Antifa (United States); Civilians (United States); Journalists (United States); LGBTQ+ (United States),Oregon,Lane,Eugene,44.052,-123.0867,Daily Beast; KOAA5; News2Share; Rumble; Torch (Lane Community College); Twitter,"On 23 October 2022, dozens of people, including Christian groups with signs reading 'Antifa Protects Pedophiles,' Proud Boys, memers of Rose City Nationalists, and others who performed Nazi salutes, gathered for a demonstration outside Old Nick's Pub in Eugene (Oregon) during a 'Drag Queen Brunch Story Hour' to demonstrate against 'pedophiles,' 'child abuse,' and LGBT+ rights. Police stated that some of the anti-LGBT+ demonstrators were armed. At least one of the demonstrators was immediately identified as holding a paintball gun. Another group of hundreds of people, including members of the LGBT+ community and armed anti-fascists, who held a banner reading 'Protect Trans Youth,' gathered in support of transgender rights. Anti-LGBT+ demonstrators attempted to enter the event without purchasing tickets, and began to throw rocks after they were refused entry. Police instructed the anti-LGBT+ group to move away from the area. As the anti-LGBT+ demonstrators backed slowly away from the event, pro-LGBT+ counter-demonstrators pushed forward. Video appeared to show an anti-fascist roughly pushing an individual to the ground. As the pro-LGBT+ counter-demonstrators continued to push forward, chanting 'move back,' an anti-LGBT+ demonstrator sprayed mace into the air, leading to fighting between the groups. Anti-LGBT+ demonstrators shot paintball guns, used mace, and threw smoke bombs. The pro-LGBT+ crowd, meanwhile, threw rocks. One man was sent to the hospital with injuries that were not immediately clear, and at least 1 journalist was maced by the anti-LGBT+ demonstrators during the interaction.",0,armed; counter-demonstration; crowd size=hundreds
27 August 2022,2022,Proud Boys,Rioters (United States); LGBTQ+ (United States); Women (United States); Labor Group (United States); Antifa (United States),California,Stanislaus,Modesto,37.6428,-120.9918,Modesto Bee; Twitter; Rawstory,"On 27 August 2022, 30 people, including members of the Proud Boys, gathered for a 'straight pride' demonstration organized by the National Straight Pride Coalition in front of a Planned Parenthood building in Modesto (California) to demonstrate against abortion. At least one demonstrator held a sign reading 'Babies Lives Matter.' Over 250 LGBT+ and pro-abortion demonstrators, including some holding banners with antifa flags and another reading 'Workers Unite, Smash Fascists, Bigots Get Out,' also gathered to demonstrate against the event. Counter-demonstrators also chanted anti-Trump slogans. As a group of demonstrators, including at least one member of the Proud Boys, approached the counter-demonstrators, demonstrators punched a counter-demonstrator and one swung a sign at him. Some counter-demonstrators threw water bottles, while others set off fireworks, threw a glass object, and threw a smoke bomb. A demonstrator threw some sort of metal object that had been thrown at him back at counter-demonstrators. Police officers fired 'less lethal' pepper spray pellets into the crowd of counter-demonstrators. Police arrested two 'straight pride' attendees and a counter-demonstrator for 'failure to disperse.'",0,counter-demonstration; crowd size=over 280
28 June 2022,2022,Women (United States); Satanic Temple (United States); BLM: Black Lives Matter,Government of the United States (2021-); GOP: Republican Party; Proud Boys; ILD: Idaho Liberty Dogs; Police Forces of the United States (2021-),Idaho,Ada,Boise,43.6185,-116.1999,Times-News; Network Contagion Research Institute; Idaho Press-Tribune; CBS2 (Boise),"On 28 June 2022, around 200 people, including members of Satanic Idaho and Black Lives Matter Boise, gathered for a demonstration at the Idaho State Capitol in Boise (Idaho) against the US Supreme Court's decision to overturn Roe v. Wade and in support of legal abortion. Another 200 people, including US Rep. Russ Fulcher (R), an unknown number of Proud Boys from the Boise Chapter armed with large assault rifles, and a member of the Idaho Liberty Dogs, held an anti-abortion prayer rally, organized by Stanton Healthcare, at the Idaho State Capitol in Boise (Idaho) in support of the US Supreme Court's decision. Fighting between the two sides broke out at the rally and police arrested two 'pro-choice' demonstrators for battery on a law enforcement officer and disturbing the peace. An Idaho state trooper assaulted a participant of the rally after they told a demonstrator not to write using chalk in front of the Capitol.",0,armed; counter-demonstration; crowd size=around 400
25 June 2022,2022,Women (United States),,Oregon,Multnomah,Portland - Northeast,45.5684,-122.6183,Forest Grove News-Times; ABC4 Utah; KOIN6; KATU,"On 25 June 2022, about 60 people dressed in black marched down Sandy Boulevard in Portland - Northeast (Oregon) in support of legal abortion and against the U.S. Supreme Court's decision to overturn Roe v. Wade. They vandalized and damaged businesses, banks, shops, a pregnancy resource center, a Tesla car, and a Portland Public School van.",0,crowd size=about 200
24 June 2022,2022,DEM: Democratic Party; Government of the United States (2021-); Health Workers (United States); PP: Planned Parenthood; Women (United States),GOP: Republican Party; Police Forces of the United States (2021-),Rhode Island,Providence,Providence,41.8238,-71.4125,Boston Globe; NBC10 (Providence); Providence Journal; Twitter,"On 24 June 2022, approximately 500-600 people gathered at the State House in Providence (Rhode Island) to rally in support of 'pro-choice' policies following the US Supreme Court's overturning of Roe v. Wade in the 24 June 2022 Dobbs v. Jackson Women's Health Organization decision. Womxn Project HQ, the Women's Fund of Rhode Island, Project Weber/RENEW, Planned Parenthood, health workers, and politicians including General Treasurer Seth Magaziner and Democratic Rhode Island State Senate candidate Jennifer Rourke were among those present. Some counter-demonstrators including GOP Rhode Island State Senate candidate and police officer Jeann Lugo rallied in support of 'pro-life' policies. Several clashes between the two groups occurred, leading two to be arrested for disorderly conduct. Democratic State Senate candidate Jennifer Rourke was also punched at least twice in the face by GOP State Senate candidate Jeann Lugo. Jean Lugo was later arrested on an assault charge and withdrawn from the race.",0,counter-demonstration; crowd size=approximately 500-600
03 May 2022,2022,Women (United States); PSL: Party for Socialism and Liberation; Students (United States); Rise Up 4 Abortion Rights,Police Forces of the United States (2021-),California,Los Angeles,Los Angeles - Central,34.0693,-118.3118,Knock.LA; People's City Council-Los Angeles; Vice News; Twitter; Los Angeles Times; Daily Bruin; Inland Valley Daily Bulletin; It's Going Down,"On 3 May 2022, roughly 400 people rallied outside of the U.S. Courthouse and marched in Los Angeles - Central (California) in support of access to abortion and to demonstrate against the leaked draft opinion from the Supreme Court that would overturn Roe v. Wade. Rise Up 4 Abortion Rights, the PSL, Leftvoice, and student groups participated. Officers from Homeland Security and the LAPD declared an unlawful assembly after demonstrators began to occupy an intersection and physically clashed with demonstrators, leaving two officers injured. According to reports, police in an unmarked car started 'harassing' the demonstrators as police were told to leave from the rally. The altercation turned violent when police brandished 'less lethal' firearms, beat the demonstrators with batons, and attempted to drive through them. A glass door at a nearby gym was also broken, as was a police vehicle window. At least one demonstrator was arrested.",0,crowd size=roughly 400
03 May 2022,2022,Proud Boys; Groypers,Protesters (United States); Women (United States),Arizona,Maricopa,Phoenix,33.4492,-112.0741,Daily Kos; Arizona Mirror; Arizona Central; Fox10 (Phoenix),"On 3 May 2022, over one thousand people gathered for a demonstration at the capitol building in Phoenix (Arizona) in support of access to abortion and to demonstrate against the leaked draft opinion from the Supreme Court that would overturn Roe v. Wade. Roughly 20 counter-demonstrators were present. One of the counter-demonstrators was carrying a .45 caliber Glock 36 pistol and others were also seen carrying firearms. Among the counter-demonstrators were Proud Boys and members of the American Populist Union, a Groyper organization. A counter-demonstrator punched two demonstrators, causing one to bleed from his head. When the second demonstrator started to chase him, both men were arrested by police. The counter-demonstrator was later charged with assault and offense against public order, while the demonstrator's charges were dropped after a judge found no probable cause.",0,armed; counter-demonstration; crowd size=over one thousand
16 March 2022,2022,Labor Group (United States); Farmers (United States); QAnon; Women (United States); Boogaloo Boys,,Maryland,Washington,Hagerstown,39.6428,-77.72,ABC13 (Lynchburg); Breitbart; WTOP Radio; New York Times; News2Share; Fox43; Washington Post,"On 16 March 2022, 500 trucks and other vehicles in the 'People's Convoy', a 'freedom convoy' demonstration against coronavirus vaccine and mask mandates, departed from Hagerstown (Maryland) and convoyed to Interstate 495, the DC Beltway, which passes through Virginia and Maryland, then drove along I-395, I-695, and I-295 as they expanded into Washington, DC. Police in the area continued to block bridges, streets, and interstate exits in order to prevent the convoy from leaving the highway and entering the capital. However, a small group managed to splinter off and head into downtown Washington, DC and the National Mall area. The convoy eventually returned to Hagerstown, Maryland. Additionally, one man claims that he was assaulted by multiple participants of the convoy, and video footage of the incident was later uploaded. According to the man, he was riding his motorcycle in the area when he got caught in the middle of the convoy. He flipped off the drivers after which a truck driver opened his door while in traffic in 'an apparent attempt to knock him off the motorcycle', but the victim was able to stop in front of the truck. Multiple drivers, then, got out of their vehicles, dragged him off his motorcycle, and assaulted him. Police are currently investigating the incident. Some of the convoy vehicles display anti-Biden rhetoric, and 'The People's Convoy' appears to be linked to QAnon after the organizers shared the post of a prominent QAnon account in their Telegram channel. At least 1 Boogaloo adherent, farmers, and the group Moms for America are participating in the event.",0,crowd size=500
